Party Id,Security Balance,Currency Balance,CCF Exchange Factor
P19,1000,0,
P1,2000,0,
P2,0,100,
P3,0,0,
P4,0,0, P4 converts 100S into 200C
P5,1000,0, P5 converts 200S into 400C
P6,0,500,
P7,2000,0,
P8,0,0,
P9,0,0,
P10,0,0, P10 converts 100S into 200C
P11,1000,0, P11 converts 200S into 400C
P12,0,500,
P13,2000,0,
P14,0,0,
P15,0,0,
P16,0,0, P16 converts 100S into 200C
P17,1000,0, P17 converts 200S into 400C
P18,0,500,


Transaction Id,From,To,Security Amount,From,To,Cash Amount
T1,P19,P2,100,P2,P19,100
T2,P19,P2,100,P2,P19,100
T3,P19,P2,100,P2,P19,100
T4,P19,P2,100,P2,P19,100
T5,P19,P2,100,P2,P19,100
T6,P19,P2,100,P2,P19,100
T7,P19,P2,100,P2,P19,100
T8,P19,P2,100,P2,P19,100
T9,P19,P2,100,P2,P19,100
T10,P19,P2,100,P2,P19,100
T11,P2,P1,300,P1,P2,100
T12,P2,P3,100,P3,P2,100
T13,P3,P1,100,P1,P3,100
T14,P4,P2,100,P2,P4,100
T15,P5,P6,100,P6,P5,1400
T16,P5,P4,200,P4,P5,300
T17,P1,P6,300,P6,P1,600
T18,P6,P5,300,P5,P6,700
T19,P8,P7,300,P7,P8,100
T20,P8,P9,100,P9,P8,100
T21,P9,P7,100,P7,P9,100
T22,P10,P8,100,P8,P10,100
T23,P11,P12,100,P12,P11,1400
T24,P11,P10,200,P10,P11,300
T25,P7,P12,300,P12,P7,600
T26,P12,P11,300,P11,P12,700
T27,P14,P13,300,P13,P14,100
T28,P14,P15,100,P15,P14,100
T29,P15,P13,100,P13,P15,100
T30,P16,P14,100,P14,P16,100
T31,P17,P18,100,P18,P17,1400
T32,P17,P16,200,P16,P17,300
T33,P13,P18,300,P18,P13,600
T34,P18,P17,300,P17,P18,700
T35,P2,P8,100,P8,P2,100
T36,P8,P14,100,P14,P8,100
T37,P14,P3,100,P3,P14,100
T38,P3,P6,100,P6,P3,100
T39,P2,P1,300,P1,P2,100
T40,P2,P3,100,P3,P2,100
T41,P3,P1,100,P1,P3,100
T42,P4,P2,100,P2,P4,100
T43,P5,P6,100,P6,P5,1400
T44,P5,P4,200,P4,P5,300
T45,P1,P6,300,P6,P1,600
T46,P6,P5,300,P5,P6,700
T47,P8,P7,300,P7,P8,100
T48,P8,P9,100,P9,P8,100
T49,P9,P7,100,P7,P9,100
T50,P10,P8,100,P8,P10,100
T51,P11,P12,100,P12,P11,1400
T52,P11,P10,200,P10,P11,300
T53,P7,P12,300,P12,P7,600
T54,P12,P11,300,P11,P12,700
T55,P14,P13,300,P13,P14,100
T56,P14,P15,100,P15,P14,100
T57,P15,P13,100,P13,P15,100
T58,P16,P14,100,P14,P16,100
T59,P17,P18,100,P18,P17,1400
T60,P17,P16,200,P16,P17,300
T61,P13,P18,300,P18,P13,600
T62,P18,P17,300,P17,P18,700
T63,P2,P8,100,P8,P2,100
T64,P8,P14,100,P14,P8,100
T65,P14,P3,200,P3,P14,100
T66,P14,P6,100,P6,P14,100
T67,P2,P1,300,P1,P2,100
T68,P2,P3,100,P3,P2,100
T69,P3,P1,100,P1,P3,100
T70,P4,P2,100,P2,P4,100
T71,P5,P6,100,P6,P5,1400
T72,P5,P4,200,P4,P5,300
T73,P1,P6,300,P6,P1,600
T74,P6,P5,300,P5,P6,700
T75,P8,P7,300,P7,P8,100
T76,P8,P9,100,P9,P8,100
T77,P9,P7,100,P7,P9,100
T78,P10,P8,100,P8,P10,100
T79,P11,P12,100,P12,P11,1400
T80,P11,P10,200,P10,P11,300
T81,P7,P12,300,P12,P7,600
T82,P12,P11,300,P11,P12,700
T83,P14,P13,300,P13,P14,100
T84,P14,P15,100,P15,P14,100
T85,P15,P13,100,P13,P15,100
T86,P16,P14,100,P14,P16,100
T87,P17,P18,100,P18,P17,1400
T88,P17,P16,200,P16,P17,300
T89,P13,P18,300,P18,P13,600
T90,P18,P17,300,P17,P18,700
T91,P2,P8,100,P8,P2,100
T92,P8,P14,100,P14,P8,100
T93,P14,P3,100,P3,P14,100
T94,P3,P6,100,P6,P3,100
T95,P2,P1,300,P1,P2,100
T96,P2,P3,100,P3,P2,100
T97,P3,P1,100,P1,P3,100
T98,P4,P2,100,P2,P4,100
T99,P5,P6,100,P6,P5,1400
T100,P5,P4,200,P4,P5,300
T101,P1,P6,300,P6,P1,600
