Party Id,Security Balance,Currency Balance,CCF Exchange Factor
P181,10000,0,
P1,2000,0,
P2,0,100,
P3,0,0,
P4,0,0, P4 converts 100S into 200C
P5,1000,0, P5 converts 200S into 400C
P6,0,500,
P7,2000,0,
P8,0,0,
P9,0,0,
P10,0,0, P10 converts 100S into 200C
P11,1000,0, P11 converts 200S into 400C
P12,0,500,
P13,2000,0,
P14,0,0,
P15,0,0,
P16,0,0, P16 converts 100S into 200C
P17,1000,0, P17 converts 200S into 400C
P18,0,500,
P19,2000,0,
P20,0,100,
P21,0,0,
P22,0,0, P22 converts 100S into 200C
P23,1000,0, P23 converts 200S into 400C
P24,0,500,
P25,2000,0,
P26,0,0,
P27,0,0,
P28,0,0, P28 converts 100S into 200C
P29,1000,0, P29 converts 200S into 400C
P30,0,500,
P31,2000,0,
P32,0,0,
P33,0,0,
P34,0,0, P34 converts 100S into 200C
P35,1000,0, P35 converts 200S into 400C
P36,0,500,
P37,2000,0,
P38,0,100,
P39,0,0,
P40,0,0, P40 converts 100S into 200C
P41,1000,0, P41 converts 200S into 400C
P42,0,500,
P43,2000,0,
P44,0,0,
P45,0,0,
P46,0,0, P46 converts 100S into 200C
P47,1000,0, P47 converts 200S into 400C
P48,0,500,
P49,2000,0,
P50,0,0,
P51,0,0,
P52,0,0, P52 converts 100S into 200C
P53,1000,0, P53 converts 200S into 400C
P54,0,500,
P55,2000,0,
P56,0,100,
P57,0,0,
P58,0,0, P58 converts 100S into 200C
P59,1000,0, P59 converts 200S into 400C
P60,0,500,
P61,2000,0,
P62,0,0,
P63,0,0,
P64,0,0, P64 converts 100S into 200C
P65,1000,0, P65 converts 200S into 400C
P66,0,500,
P67,2000,0,
P68,0,0,
P69,0,0,
P70,0,0, P70 converts 100S into 200C
P71,1000,0, P71 converts 200S into 400C
P72,0,500,
P73,2000,0,
P74,0,100,
P75,0,0,
P76,0,0, P76 converts 100S into 200C
P77,1000,0, P77 converts 200S into 400C
P78,0,500,
P79,2000,0,
P80,0,0,
P81,0,0,
P82,0,0, P82 converts 100S into 200C
P83,1000,0, P83 converts 200S into 400C
P84,0,500,
P85,2000,0,
P86,0,0,
P87,0,0,
P88,0,0, P88 converts 100S into 200C
P89,1000,0, P89 converts 200S into 400C
P90,0,500,
P91,2000,0,
P92,0,100,
P93,0,0,
P94,0,0, P94 converts 100S into 200C
P95,1000,0, P95 converts 200S into 400C
P96,0,500,
P97,2000,0,
P98,0,0,
P99,0,0,
P100,0,0, P100 converts 100S into 200C
P101,1000,0, P101 converts 200S into 400C
P102,0,500,
P103,2000,0,
P104,0,0,
P105,0,0,
P106,0,0, P106 converts 100S into 200C
P107,1000,0, P107 converts 200S into 400C
P108,0,500,
P109,2000,0,
P110,0,100,
P111,0,0,
P112,0,0, P112 converts 100S into 200C
